Time, Sample Temperature, Coil Temperature, AIRQ Temperature, AIRQ Humidity, AIRQ Pressure
12:12:53, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:12:54, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:12:55, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:12:56, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:12:57, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:12:58, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:12:59, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:00, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:01, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:02, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:03, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:04, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:05, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:06, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:07, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:08, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:09, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:10, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:12, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:13, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:14, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:15, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:16, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:17, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:18, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:19, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:20, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:21, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:22, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:23, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:24, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:25, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:26, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:27, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:28, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:29, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
